id,VillageName
462,Sankh
463,Siras
464,Singodi
465,Sajpani
466,Kona Pidrai
467,Halal Kalan
468,Halal Khurd
469,Halal Ryt.
470,Pauniya
471,Amgaon
472,Pipariya Khati
473,Khairghat
474,Tap
475,Hiwra Jaisingh
476,Bari
477,Jamuniya
478,Megdon
479,Patlon
480,Rampuri
481,Dawajhir
482,Mandariya
483,Kokiwada
484,Dhaulpur
485,Banskheda
486,Jamtra
487,Kumbhpani
488,Rohana Kalan
489,Bhaisadand
490,Thuniya Udana
491,Chargaon Bhat
492,Guraiya
493,Usariya
494,Poama
495,Gangiwada
496,Moadei
497,Manegaon
498,Dungariya
499,Karaboh
500,Partala
501,Khairi Bhopal
502,Thuniya Bhand
503,Imli Kheda
504,Sarra
505,Matkuli
506,Saraswada
507,Boriya
508,Kusmeli
509,Ajaniya
510,Pipariya Birsa
511,Sarna
512,Dunda Seoni
513,Lahgadua
514,Khapa Mithekhan
515,Jhanda
516,Rohana Khurd
517,Kudwari
518,Jhirlinga
519,Gangai
520,Keolari
521,Thawari Khurd
522,Sonkhaba
523,Bijori Khurd
524,Kacharia
525,Bamhni
526,Kaparwadi
527,Chhinda
528,Chhabadi
529,Seoni Megha
530,Chargaon Pehlad
531,Lakdai Jamhodi
532,Pipariya Lalu
533,Anghodi
534,Pipariya Bistsala
535,Raja Khoh
536,Nagjhir
537,Jhiri
538,Bangaon
539,Ner
540,Jamuniya
541,Dewardha
542,Karaghat
543,Mohgaon
544,Sihora
545,Karbe Pipariya
546,Dagawani Pipariya
547,Thawari Teka
548,Chausra
549,Bhula
550,Bhutera
551,Jamhodi Panda
552,Bilamba
553,Dhanori Gusai
554,Loniya Maru
555,Kakai
556,Kheri Laddu
557,Bohna
558,Panth
559,Chanhia Khurd
560,Jatalapur
561,Chanhia Kalan
562,Panjra
563,Kheri Bhutai
564,Mendki Tal
565,Surgi
566,Kabadiya
567,Gadhmari
568,Sahajpuri
569,Sonakhar
570,Pakhadiya
571,Sonpur
572,Malhanwada
573,Atarwada
574,Ghoghra
575,Marai
576,Rangin Khapa
577,Ghat Parasia
578,Navegaon
579,Bhandi
580,Umariya Isra
581,Dauda Raiyatwari
582,Jhajhariya Urf.Khutiya
583,Pulpuldoh
584,Sonapipri
585,Dhamania
586,Khamra
587,Shahpura
588,Kuhiya
589,Thaori Kalan
590,Salaiya Kalan
591,Susarai
592,Dhagdiya
593,Pindrai Kalan
594,Bhanadai
595,Bijepani
596,Dhoulpur
597,Kotalbarri
598,Sunari Mohagaon
599,Bhajipani Kalan
600,Khapa Kalan
601,Umarhar
602,Madanpur
603,Chargaon
604,Sankh
605,Jetama
606,Ubhegaon Khajari
607,Samarboh
608,Rajana
609,Gondara
610,Bhaiskola
611,Jaitpur Kalan
612,Lonia Karbal (Ct)
613,Ojhaldhana
614,Gangai
615,Mukakheda
616,Rater
617,Pathaghat Dhyaniya
618,Malpani
619,Kereli
620,Bhond
621,Kodiya
622,Gheribakodi
623,Chilak
624,Baghi
625,Nikahi
626,Khirkighat
627,Balusar
628,Digdahar
629,Rawalghondi
630,Unchakheda
631,Khamarpani
632,Pando
633,Madhi
634,Chargaon
635,Ghumar
636,Ghaghar Pani
637,Lohajhiri
638,Dabardhana
639,Batkagarh
640,Purpural
641,Noniyadhana
642,Atariya
643,Ankhawadi
644,Kareli
645,Kamtha
646,Kamthi
647,Karaghat
648,Chatni
649,Tipakheda
650,Dhankhudra
651,Nirbhaypur
652,Belkhedi
653,Banskheda
654,Bhoipar
655,Bhais Khoh
656,Moya Kuhi
657,Rojhni
658,Acharkund
659,Chargaon Kalan
660,Churisajwa
661,Champakheda
662,Borpani
663,Sanwla Kheda
664,Saldhana
665,Andol
666,Dorli
667,Chaurasi
668,Jhapat
669,Bitta
670,Banka
671,Jhirna
672,Tehtori
673,Damkhoh
674,Imajhiri
675,Dendu
676,Belpathar
677,Ghorawadi
678,Kothiya
679,Chhuha
680,Dhanora
681,Manakwadi
682,Sagoniya
683,Gutera
684,Jilheri
685,Bichua
686,Bhumka
687,Morkha
688,Khirda
689,Chhinda
690,Nachna
691,Palani
692,Bhalpani
693,Khairi
694,Gunheri
695,Dungariya
696,Padariya
697,Baichhapar
698,Batkakhapa
699,Simariya
700,Khamori
701,Tharwa
702,Noniya
703,Papda
704,Pipariya Kalan
705,Dabri
706,Chhata
707,Madai
708,Umari Khurd
709,Pipariya Khurd
710,Tatighat
711,Chopna
712,Bichua
713,Madopani
714,Deori
715,Piparpani
716,Kachhar
717,Kundali
718,Kohpani
719,Khajarwani
720,Churi Khurd
721,Churi Kalan
722,Dhokheda
723,Balbudi
724,Matiya
725,Mohriya
726,Samardoh
727,Salebaru
728,Kotra
729,Khala
730,Khatopani
731,Chikhla
732,Chhata Khurd
733,Budena
734,Bhaisa Khurd
735,Bhond
736,Muwar Kalan
737,Mohani Ghat
738,Kundali
739,Gadagad
740,Ghoghri
741,Chanda Doh
742,Chhinda
743,Dunda
744,Tuiyapani
745,Dhadhra
746,Partapur
747,Bamhni Khurd
748,Bamhni Kalan
749,Siyar Kheda
750,Harsuya
751,Mudiya
752,Motikund
753,Jamunpani
754,Kalithuni
755,Jogiwari
756,Dhoda
757,Tendni
758,Tendukheda
759,Marka Pathar
760,Salaiya Swami
761,Singodi
762,Hathi Khoh
763,Kukrepani
764,Kolhiya
765,Boriya
766,Mahulkuhi
767,Mehanda
768,Mohariya
769,Ratomati
770,Siyajhiri
771,Sironj
772,Dhodabeli
773,Kewlari
774,Jhirpi
775,Nawalpur
776,Pataniya
777,Bamhori
778,Badsaliya
779,Sondhni
780,Haran Bhata
781,Teliya
782,Barul
783,Bargi
784,Balghoghra
785,Bichhua
786,Muarsani
787,Sathiya
788,Amari
789,Padhar Bhata
790,Nandana
791,Pathara
792,Pipariya
793,Bheda
794,Bhaisa Kalan
795,Sukhapura
796,Karaiya
797,Kokan Pipariya
798,Basuriya Kalan
799,Bandaboh
800,Salaiya Bulaki
801,Sajwa
802,Kachmara
803,Aharwada
804,Khamtara
805,Raiyarao
806,Sundesondi
807,Karer
808,Gunguch
809,Gaorpani
810,Dharmi
811,Kamkasur
812,Medki
813,Kohpani
814,Chhatar Kalan
815,Bhorgarh
