id,city
1128,khajoori
1129,jujharpur
1130,sundarpura
1131,dhirpura
1132,gohana
1133,theli
1134,ikona
1135,tigra
1136,raruarai
1137,chhikau
1138,khaikheda
1139,degawangoojar
1140,dhanoli
1141,chakdhanoli
1142,chakunchiya
1143,unchiya
1144,murgawan
1145,ranipura
1146,lodhipura
1147,peepri
1148,bagpura
1149,bagurdan proj
1150,bagurdan siddha
1151,joura
1152,kitana
1153,ruhera
1154,neemdanda
1155,meoli
1156,kaserua
1157,bhikampura
1158,bijora
1159,amra
1160,gumanpura
1161,magrol
1162,balampura
1163,tuki
1164,sad
1165,gyara
1166,rajapura
1167,baghwali
1168,dirolipar
1169,chanderia
1170,bareja chak
1171,lokendrapur
1172,sitapur
1173,chitai
1174,nanat
1175,khamroli
1176,dongarpur
1177,pali
1178,medpura
1179,dangseondha
1180,jaswantnagar
1181,jara
1182,dangkachhar
1183,madanpura
1184,nandpur
1185,daryaopur
1186,mahewa
1187,maharajpura
1188,hetampura
1189,sirsa
1190,raniyapura
1191,deopura
1192,kheribhat
1193,repoli
1194,mubarikpura
1195,rampurabuzurg
1196,jorital
1197,gandhigram
1198,basturi
1199,dabhni
1200,shikarpura
1201,dirolidang
1202,bisor
1203,nahla
1204,berchha
1205,budhera
1206,kunwarpura
1207,madikhera
1208,atreta
1209,basaimalak
1210,bahadurpur
1211,marsenikhurd
1212,bhensai
1213,vyaspura
1214,sultanpur
1215,bhagupura
1216,gopalpura
1217,rampurakhurd
1218,adlispura
1219,khanjapura
1220,atra
1221,debhai
1222,itonda
1223,vijaypura
1224,beerpura
1225,jasawali
1226,berkheda
1227,gora
1228,mohanpura
1229,teda
1230,karila
1231,parsondabaman
1232,badokhari
1233,dharampura
1234,rathawali
1235,porsakhurd
1236,raipurakhurd
1237,maliyapura
1238,ramnehar
1239,marsenibuzurg
1240,dhorri
1241,dhorra
1242,charokhara
1243,rubaha
1244,roora
1245,roor
1246,cheena
1247,diguwan
1248,silotarpura
1249,bhowaikhurd
1250,alampurkhurd
1251,raipurabuzurg
1252,ingui
1253,bhowaibuzurg
1254,bidora
1255,sikroli
1256,maharoli
1257,changpura
1258,tharet
1259,pahadi
1260,basaijeev
1261,todapahad
