,id,id_,score
144613,114,745,1.0
143350,113,744,1.0
128194,101,732,1.0
113038,89,720,1.0
111775,88,719,1.0
110512,87,718,1.0
109249,86,717,1.0
107986,85,716,1.0
106723,84,715,1.0
105460,83,714,1.0
104197,82,713,1.0
102934,81,712,1.0
114301,90,721,1.0
115564,91,722,1.0
126931,100,731,1.0
125668,99,730,1.0
124405,98,729,1.0
123142,97,728,1.0
121879,96,727,1.0
120616,95,726,1.0
119353,94,725,1.0
118090,93,724,1.0
116827,92,723,1.0
153454,121,752,1.0
154717,122,753,1.0
102193,80,1233,1.0
186292,147,778,1.0
191344,151,782,1.0
190081,150,781,1.0
188818,149,780,1.0
187555,148,779,1.0
179977,142,773,1.0
185029,146,777,1.0
183766,145,776,1.0
182503,144,775,1.0
181240,143,774,1.0
192607,152,783,1.0
193870,153,784,1.0
201448,159,790,1.0
200185,158,789,1.0
199201,157,1067,1.0
198922,157,788,1.0
197659,156,787,1.0
196837,155,1227,1.0
196396,155,786,1.0
195133,154,785,1.0
180057,142,853,1.0
179426,142,222,1.0
164821,130,761,1.0
163558,129,760,1.0
162650,128,1114,1.0
162295,128,759,1.0
161032,127,758,1.0
159769,126,757,1.0
158506,125,756,1.0
157243,124,755,1.0
155980,123,754,1.0
166084,131,762,1.0
167347,132,763,1.0
178714,141,772,1.0
177451,140,771,1.0
176188,139,770,1.0
174925,138,769,1.0
173662,137,768,1.0
172399,136,767,1.0
171136,135,766,1.0
169873,134,765,1.0
168610,133,764,1.0
101671,80,711,1.0
33613,26,801,1.0
38521,30,661,1.0
37258,29,660,1.0
35995,28,659,1.0
34732,27,658,1.0
33469,26,657,1.0
32982,26,170,1.0
32206,25,656,1.0
30943,24,655,1.0
29680,23,654,1.0
39784,31,662,1.0
41047,32,663,1.0
51151,40,671,1.0
49888,39,670,1.0
48625,38,669,1.0
47362,37,668,1.0
46099,36,667,1.0
44836,35,666,1.0
43573,34,665,1.0
42310,33,664,1.0
28417,22,653,1.0
27154,21,652,1.0
52414,41,672,1.0
13261,10,641,1.0
11998,9,640,1.0
10735,8,639,1.0
9472,7,638,1.0
8528,6,956,1.0
8209,6,637,1.0
6946,5,636,1.0
5683,4,635,1.0
4420,3,634,1.0
14524,11,642,1.0
15787,12,643,1.0
25891,20,651,1.0
24628,19,650,1.0
23365,18,649,1.0
22102,17,648,1.0
20839,16,647,1.0
19576,15,646,1.0
18313,14,645,1.0
17296,13,890,1.0
17050,13,644,1.0
16665,13,259,1.0
52740,41,998,1.0
83989,66,697,1.0
89041,70,701,1.0
87778,69,700,1.0
86515,68,699,1.0
85252,67,698,1.0
82726,65,696,1.0
81463,64,695,1.0
80200,63,694,1.0
78937,62,693,1.0
90304,71,702,1.0
91567,72,703,1.0
100806,79,1108,1.0
100408,79,710,1.0
99145,78,709,1.0
97882,77,708,1.0
96619,76,707,1.0
95356,75,706,1.0
94093,74,705,1.0
92830,73,704,1.0
77674,61,692,1.0
76411,60,691,1.0
62518,49,680,1.0
61255,48,679,1.0
59992,47,678,1.0
58729,46,677,1.0
57466,45,676,1.0
56203,44,675,1.0
54940,43,674,1.0
53914,42,910,1.0
53677,42,673,1.0
53283,42,279,1.0
63781,50,681,1.0
65044,51,682,1.0
75148,59,690,1.0
73885,58,689,1.0
72622,57,688,1.0
71359,56,687,1.0
70096,55,686,1.0
68833,54,685,1.0
67570,53,684,1.0
66876,52,1252,1.0
66307,52,683,1.0
202711,160,791,1.0
203974,161,792,1.0
399739,316,947,1.0
329011,260,891,1.0
334063,264,895,1.0
332800,263,894,1.0
331537,262,893,1.0
330274,261,892,1.0
327748,259,890,1.0
327502,259,644,1.0
326485,258,889,1.0
325222,257,888,1.0
335326,265,896,1.0
336589,266,897,1.0
345430,273,904,1.0
344167,272,903,1.0
342904,271,902,1.0
341641,270,901,1.0
340378,269,900,1.0
339207,268,991,1.0
339115,268,899,1.0
337852,267,898,1.0
323959,256,887,1.0
322696,255,886,1.0
309115,244,1187,1.0
308922,244,994,1.0
308803,244,875,1.0
307540,243,874,1.0
306277,242,873,1.0
305014,241,872,1.0
303751,240,871,1.0
302488,239,870,1.0
301225,238,869,1.0
310066,245,876,1.0
311329,246,877,1.0
321433,254,885,1.0
320170,253,884,1.0
318907,252,883,1.0
317644,251,882,1.0
316381,250,881,1.0
315448,249,1210,1.0
315118,249,880,1.0
313855,248,879,1.0
312592,247,878,1.0
346693,274,905,1.0
347956,275,906,1.0
299962,237,868,1.0
380794,301,932,1.0
385846,305,936,1.0
384583,304,935,1.0
383320,303,934,1.0
382057,302,933,1.0
379531,300,931,1.0
378268,299,930,1.0
377005,298,929,1.0
375742,297,928,1.0
387109,306,937,1.0
388372,307,938,1.0
398476,315,946,1.0
397213,314,945,1.0
395950,313,944,1.0
394687,312,943,1.0
393424,311,942,1.0
392161,310,941,1.0
390898,309,940,1.0
389635,308,939,1.0
374479,296,927,1.0
373216,295,926,1.0
358060,283,914,1.0
356797,282,913,1.0
355534,281,912,1.0
354271,280,911,1.0
353008,279,910,1.0
352771,279,673,1.0
351745,278,909,1.0
350482,277,908,1.0
349219,276,907,1.0
359323,284,915,1.0
360586,285,916,1.0
371953,294,925,1.0
370690,293,924,1.0
369427,292,923,1.0
368164,291,922,1.0
366901,290,921,1.0
365638,289,920,1.0
364375,288,919,1.0
363112,287,918,1.0
361849,286,917,1.0
234286,185,816,1.0
237166,187,1172,1.0
236994,187,1000,1.0
236812,187,818,1.0
235549,186,817,1.0
233394,184,1186,1.0
233023,184,815,1.0
231760,183,814,1.0
230497,182,813,1.0
238075,188,819,1.0
239338,189,820,1.0
249442,197,828,1.0
248179,196,827,1.0
246916,195,826,1.0
245653,194,825,1.0
244390,193,824,1.0
243127,192,823,1.0
241864,191,822,1.0
240601,190,821,1.0
229234,181,812,1.0
227971,180,811,1.0
214078,169,800,1.0
212815,168,799,1.0
211841,167,1087,1.0
211552,167,798,1.0
210289,166,797,1.0
209026,165,796,1.0
207763,164,795,1.0
206500,163,794,1.0
205237,162,793,1.0
215197,170,657,1.0
